,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
11020,1955,0.8982,1756,1677,0.95501139,74,0,5,199,95,9,95,0
11021,7476,0.6628,4955,2517,0.507971746,64,2374,0,2521,122,66,2333,0
11023,3111,0.8229,2560,2186,0.85390625,15,359,0,551,193,15,343,0
11024,2205,0.8426,1858,1741,0.937029064,79,38,0,347,190,0,157,0
11030,5798,0.8798,5101,4410,0.864536365,538,146,7,697,231,50,416,0
11040,12983,0.8922,11584,10824,0.934392265,199,506,55,1399,565,40,794,0
11050,11048,0.6686,7387,6173,0.835657236,294,905,15,3661,792,338,2531,0
11096,2490,0.4494,1119,831,0.742627346,33,255,0,1371,233,107,1031,0
11101,11494,0.1709,1964,89,0.045315682,173,1691,11,9530,89,142,9299,0
11102,13834,0.1382,1912,161,0.084205021,247,1504,0,11922,138,195,11546,43
11103,16351,0.1541,2519,213,0.084557364,619,1687,0,13832,207,241,13378,6
11104,11519,0.1523,1754,50,0.028506271,556,1138,10,9765,43,136,9577,9
11105,15571,0.2609,4062,351,0.086410635,1363,2348,0,11509,251,322,10936,0
11106,17011,0.1670,2840,319,0.112323944,303,2218,0,14171,138,173,13860,0
11109,2418,0.1754,424,13,0.030660377,0,411,0,1994,0,0,1994,0
11201,24889,0.3678,9155,199,0.021736756,765,8163,28,15734,60,185,15489,0
11203,27164,0.4009,10891,1868,0.171517767,5029,3935,59,16273,323,731,15115,104
11204,24873,0.3823,9510,1568,0.164879075,2870,5051,21,15363,393,811,14135,24
11205,15090,0.2221,3351,230,0.068636228,495,2590,36,11739,43,189,11484,23
11206,28980,0.1138,3297,236,0.071580224,350,2656,55,25683,193,166,25261,63
11207,31648,0.2308,7305,877,0.120054757,2402,3994,32,24343,533,578,23203,29
11208,29020,0.2465,7152,1068,0.149328859,1991,4033,60,21868,474,687,20650,57
11209,30916,0.3459,10694,2088,0.195249673,2575,6010,21,20222,319,603,19271,29
11210,21906,0.4569,10008,3833,0.382993605,3059,3116,0,11898,313,159,11402,24
11211,36422,0.1577,5743,487,0.084798886,455,4728,73,30679,336,571,29608,164
11212,30685,0.1466,4497,451,0.100289082,1921,2120,5,26188,206,451,25531,0
11213,23671,0.1511,3577,190,0.053117137,1074,2291,22,20094,248,266,19565,15
11214,31315,0.3415,10695,1019,0.095278167,2286,7347,43,20620,522,676,19399,23
11215,28984,0.3721,10786,304,0.028184684,2699,7783,0,18198,215,404,17579,0
11216,23210,0.2126,4935,271,0.05491388,1075,3589,0,18275,146,380,17713,36
11217,16691,0.2957,4935,211,0.042755826,878,3846,0,11756,43,145,11568,0
11218,24829,0.3338,8288,1285,0.155043436,1183,5820,0,16541,539,451,15551,0
11219,26611,0.2480,6599,515,0.078042128,934,5064,86,20012,366,538,19085,23
11220,29622,0.2416,7158,478,0.06677843,1431,5209,40,22464,267,463,21717,17
11221,28794,0.2066,5949,346,0.058161035,898,4705,0,22845,287,460,22070,28
11222,16662,0.2077,3461,240,0.06934412,433,2788,0,13201,104,232,12812,53
11223,27283,0.3760,10259,2334,0.227507554,2582,5308,35,17024,542,672,15787,23
11224,18153,0.2984,5417,319,0.058888684,973,4095,30,12736,213,203,12281,39
11225,22790,0.1455,3315,295,0.088989442,1325,1695,0,19475,269,268,18897,41
11226,35998,0.1295,4662,1184,0.253968254,839,2621,18,31336,196,340,30784,16
11228,15244,0.5705,8697,1604,0.184431413,2895,4166,32,6547,230,611,5706,0
11229,30987,0.4574,14173,4463,0.314894518,4551,5139,20,16814,593,587,15625,9
